Year,"Country of origin","Country of asylum","Country of origin (ISO)","Country of asylum (ISO)",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2010,Ukraine,Austria,UKR,AUT,G,FA,P,14,15,194,27,250
2010,Ukraine,Belgium,UKR,BEL,G,FI,P,0,0,30,10,40
2010,Ukraine,Belarus,UKR,BLR,G,FI,P,0,0,5,5,10
2010,Ukraine,Bulgaria,UKR,BGR,G,FI,C,0,0,5,0,5
2010,Ukraine,Cyprus,UKR,CYP,G,AR,P,0,0,5,22,27
2010,Ukraine,Cyprus,UKR,CYP,G,FI,P,0,0,16,0,16
2010,Ukraine,Czechia,UKR,CZE,G,AR,P,23,0,69,22,114
2010,Ukraine,Czechia,UKR,CZE,G,FI,P,11,5,72,56,144
2010,Ukraine,Finland,UKR,FIN,G,FI,P,0,0,5,5,10
2010,Ukraine,France,UKR,FRA,G,FI,P,10,0,73,0,83
2010,Ukraine,France,UKR,FRA,G,RA,P,5,5,0,0,10
2010,Ukraine,"United Kingdom of Great Britain and Northern Ireland",UKR,GBR,G,FI,P,0,5,44,15,64
2010,Ukraine,Georgia,UKR,GEO,G,FA,P,0,0,5,0,5
2010,Ukraine,Germany,UKR,DEU,G,NA,P,0,0,27,24,51
2010,Ukraine,Germany,UKR,DEU,G,RA,P,0,0,0,10,10
2010,Ukraine,Greece,UKR,GRC,G,FI,P,0,0,13,19,32
2010,Ukraine,Croatia,UKR,HRV,G,AR,P,0,0,5,0,5
2010,Ukraine,Croatia,UKR,HRV,G,FI,P,0,0,5,0,5
2010,Ukraine,Hungary,UKR,HUN,G,FI,P,0,0,5,5,10
2010,Ukraine,Ireland,UKR,IRL,G,AR,P,0,0,14,0,14
2010,Ukraine,Ireland,UKR,IRL,G,FI,P,0,0,10,0,10
2010,Ukraine,Italy,UKR,ITA,G,FI,P,0,0,16,0,16
2010,Ukraine,Luxembourg,UKR,LUX,G,FI,P,0,0,0,5,5
2010,Ukraine,"Rep. of Moldova",UKR,MDA,G,FA,P,0,0,5,0,5
2010,Ukraine,"Netherlands (Kingdom of the)",UKR,NLD,G,FI,P,0,5,27,0,32
2010,Ukraine,Norway,UKR,NOR,G,AR,P,0,0,25,0,25
2010,Ukraine,Norway,UKR,NOR,G,FI,P,0,0,0,14,14
2010,Ukraine,Poland,UKR,POL,G,FI,P,0,5,11,13,29
2010,Ukraine,Romania,UKR,ROU,G,FA,P,0,0,10,0,10
2010,Ukraine,"Russian Federation",UKR,RUS,G,FI,P,0,0,14,0,14
