Extracted:,United Nations High Commissioner for Refugees
Date extracted:,15/08/2023 17:44:13
Last updated:,15/08/2023 17:44:13

Data table contains the following:,UNHCR resettlement departures
Years selected:,"2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
2023 data (if included) as of:, June 2023
Country of origin:,"AFG,IRQ,SYR"
Country of asylum:,"ALB,ARM,AZE,BLR,BIH,HRV,CYP,CZE,GEO,HUN,MLT,MKD,MDA,ROU,RUS,SRB,TUR,UKR"
Resettlement country:,"ALB,ARG,AUS,AUT,BLR,BEL,BRA,BGR,CAN,CHL,HRV,CYP,CZE,DNK,EST,FIN,FRA,DEU,HUN,ISL,IRL,ITA,JPN,LVA,LIE,LTU,LUX,MLT,MEX,MCO,NLD,NZL,NOR,PRY,POL,PRT,KOR,ROU,SVK,SVN,ESP,SWE,CHE,GBR,USA,URY"

Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2015,AFG,"Afghanistan",TUR,"Turkiye",FIN,"Finland",4
2015,SYR,"Syrian Arab Rep.",All others,"All others",DNK,"Denmark",144
2015,IRQ,"Iraq",RUS,"Russian Federation",CAN,"Canada",1
2015,SYR,"Syrian Arab Rep.",TUR,"Turkiye",AUT,"Austria",40
2015,AFG,"Afghanistan",TUR,"Turkiye",USA,"United States of America",448
2015,IRQ,"Iraq",All others,"All others",AUS,"Australia",520
2015,SYR,"Syrian Arab Rep.",All others,"All others",SWE,"Sweden",549
2015,IRQ,"Iraq",TUR,"Turkiye",CAN,"Canada",687
2015,SYR,"Syrian Arab Rep.",TUR,"Turkiye",NLD,"Netherlands",3
2015,IRQ,"Iraq",TUR,"Turkiye",ROU,"Romania",2
2015,SYR,"Syrian Arab Rep.",TUR,"Turkiye",USA,"United States of America",320
2015,SYR,"Syrian Arab Rep.",TUR,"Turkiye",CAN,"Canada",52
2015,IRQ,"Iraq",All others,"All others",SWE,"Sweden",45
2015,AFG,"Afghanistan",TUR,"Turkiye",FRA,"France",3
2015,SYR,"Syrian Arab Rep.",TUR,"Turkiye",LIE,"Liechtenstein",17
2015,SYR,"Syrian Arab Rep.",All others,"All others",ESP,"Spain",92
2015,IRQ,"Iraq",TUR,"Turkiye",SWE,"Sweden",2
2015,IRQ,"Iraq",All others,"All others",CAN,"Canada",1311
2015,SYR,"Syrian Arab Rep.",All others,"All others",USA,"United States of America",1862
2015,IRQ,"Iraq",All others,"All others",USA,"United States of America",1394
2015,AFG,"Afghanistan",UKR,"Ukraine",FIN,"Finland",6
2015,AFG,"Afghanistan",All others,"All others",AUS,"Australia",1059
2015,SYR,"Syrian Arab Rep.",All others,"All others",FIN,"Finland",372
